date,units_sold,price,revenue,promotion,temperature,holiday,year,month,day,day_of_week,is_weekend,quarter,week_of_year,month_sin,month_cos,dow_sin,dow_cos,units_sold_lag_1,units_sold_lag_7,units_sold_roll_mean_7,store_Store_B,store_Store_C,category_Electronics,category_Furniture,category_Groceries,category_Toys
2022-01-08,139,45.75,6359.25,0,28.2,0,2022,1,8,5,1,1,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,117.0,162.0,127.71428571428571,False,False,False,False,False,False
2022-01-09,119,46.55,5539.45,0,35.2,0,2022,1,9,6,1,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,139.0,154.0,124.42857142857143,False,False,False,False,False,False
2022-01-10,107,48.79,5220.53,0,23.2,0,2022,1,10,0,0,1,2,0.49999999999999994,0.8660254037844387,0.0,1.0,119.0,110.0,119.42857142857143,False,False,False,False,False,False
2022-01-11,142,48.29,6857.18,1,31.0,0,2022,1,11,1,0,1,2,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,107.0,111.0,119.0,False,False,False,False,False,False
2022-01-12,108,43.21,4666.68,0,38.4,0,2022,1,12,2,0,1,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,142.0,119.0,123.42857142857143,False,False,False,False,False,False
2022-01-13,136,48.83,6640.88,1,24.0,0,2022,1,13,3,0,1,2,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,108.0,121.0,121.85714285714286,False,False,False,False,False,False
2022-01-14,118,44.18,5213.24,0,35.2,0,2022,1,14,4,0,1,2,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,136.0,117.0,124.0,False,False,False,False,False,False
2022-01-15,143,48.73,6968.39,0,17.2,0,2022,1,15,5,1,1,2,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,118.0,139.0,124.14285714285714,False,False,False,False,False,False
2022-01-16,152,46.43,7057.36,0,28.7,0,2022,1,16,6,1,1,2,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,143.0,119.0,124.71428571428571,False,False,False,False,False,False
2022-01-17,119,46.62,5547.78,0,23.3,0,2022,1,17,0,0,1,3,0.49999999999999994,0.8660254037844387,0.0,1.0,152.0,107.0,129.42857142857142,False,False,False,False,False,False
2022-01-18,114,48.41,5518.74,0,33.9,0,2022,1,18,1,0,1,3,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,119.0,142.0,131.14285714285714,False,False,False,False,False,False
2022-01-19,94,46.62,4382.28,0,32.0,0,2022,1,19,2,0,1,3,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,114.0,108.0,127.14285714285714,False,False,False,False,False,False
2022-01-20,106,46.82,4962.92,0,25.2,0,2022,1,20,3,0,1,3,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,94.0,136.0,125.14285714285714,False,False,False,False,False,False
2022-01-21,111,43.84,4866.24,0,33.4,0,2022,1,21,4,0,1,3,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,106.0,118.0,120.85714285714286,False,False,False,False,False,False
2022-01-22,140,41.51,5811.4,0,24.7,0,2022,1,22,5,1,1,3,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,111.0,143.0,119.85714285714286,False,False,False,False,False,False
2022-01-23,163,43.8,7139.4,0,18.2,0,2022,1,23,6,1,1,3,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,140.0,152.0,119.42857142857143,False,False,False,False,False,False
2022-01-24,101,48.46,4894.46,0,19.7,0,2022,1,24,0,0,1,4,0.49999999999999994,0.8660254037844387,0.0,1.0,163.0,119.0,121.0,False,False,False,False,False,False
2022-01-25,110,46.71,5138.1,0,13.7,0,2022,1,25,1,0,1,4,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,101.0,114.0,118.42857142857143,False,False,False,False,False,False
2022-01-26,102,41.82,4265.64,0,23.5,0,2022,1,26,2,0,1,4,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,110.0,94.0,117.85714285714286,False,False,False,False,False,False
2022-01-27,103,44.89,4623.67,0,17.9,0,2022,1,27,3,0,1,4,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,102.0,106.0,119.0,False,False,False,False,False,False
2022-01-28,175,45.92,8036.0,1,29.1,0,2022,1,28,4,0,1,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,103.0,111.0,118.57142857142857,False,False,False,False,False,False
2022-01-29,158,42.19,6666.02,0,20.1,0,2022,1,29,5,1,1,4,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,175.0,140.0,127.71428571428571,False,False,False,False,False,False
2022-01-30,168,43.95,7383.6,0,37.3,0,2022,1,30,6,1,1,4,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,158.0,163.0,130.28571428571428,False,False,False,False,False,False
2022-01-31,100,43.65,4365.0,0,18.5,0,2022,1,31,0,0,1,5,0.49999999999999994,0.8660254037844387,0.0,1.0,168.0,101.0,131.0,False,False,False,False,False,False
2022-02-01,81,46.76,3787.56,0,33.2,0,2022,2,1,1,0,1,5,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,100.0,110.0,130.85714285714286,False,False,False,False,False,False
2022-02-02,89,41.13,3660.57,0,22.9,0,2022,2,2,2,0,1,5,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,81.0,102.0,126.71428571428571,False,False,False,False,False,False
2022-02-03,86,42.17,3626.62,0,23.6,0,2022,2,3,3,0,1,5,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,89.0,103.0,124.85714285714286,False,False,False,False,False,False
2022-02-04,70,45.65,3195.5,0,25.9,0,2022,2,4,4,0,1,5,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,86.0,175.0,122.42857142857143,False,False,False,False,False,False
2022-02-05,124,47.06,5835.44,0,25.002259852216746,0,2022,2,5,5,1,1,5,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,70.0,158.0,107.42857142857143,False,False,False,False,False,False
2022-02-06,112,47.94,5369.28,0,28.6,0,2022,2,6,6,1,1,5,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,124.0,168.0,102.57142857142857,False,False,False,False,False,False
2022-02-07,128,44.17,5653.76,1,30.2,0,2022,2,7,0,0,1,6,0.8660254037844386,0.5000000000000001,0.0,1.0,112.0,100.0,94.57142857142857,False,False,False,False,False,False
2022-02-08,94,43.03,4044.82,0,23.4,0,2022,2,8,1,0,1,6,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,128.0,81.0,98.57142857142857,False,False,False,False,False,False
2022-02-09,95,46.83,4448.85,0,34.9,0,2022,2,9,2,0,1,6,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,94.0,89.0,100.42857142857143,False,False,False,False,False,False
2022-02-10,93,43.31,4027.83,0,30.7,0,2022,2,10,3,0,1,6,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,95.0,86.0,101.28571428571429,False,False,False,False,False,False
2022-02-11,85,46.62,3962.7,0,22.1,0,2022,2,11,4,0,1,6,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,93.0,70.0,102.28571428571429,False,False,False,False,False,False
2022-02-12,92,47.29,4350.68,0,33.1,0,2022,2,12,5,1,1,6,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,85.0,124.0,104.42857142857143,False,False,False,False,False,False
2022-02-13,121,40.51,4901.71,0,15.8,0,2022,2,13,6,1,1,6,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,92.0,112.0,99.85714285714286,False,False,False,False,False,False
2022-02-14,74,40.73,3014.02,0,25.002259852216746,0,2022,2,14,0,0,1,7,0.8660254037844386,0.5000000000000001,0.0,1.0,121.0,128.0,101.14285714285714,False,False,False,False,False,False
2022-02-15,85,45.17,3839.45,0,17.6,0,2022,2,15,1,0,1,7,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,74.0,94.0,93.42857142857143,False,False,False,False,False,False
2022-02-16,83,42.68,3542.44,0,27.1,0,2022,2,16,2,0,1,7,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,85.0,95.0,92.14285714285714,False,False,False,False,False,False
2022-02-17,94,42.17,3963.98,0,27.7,0,2022,2,17,3,0,1,7,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,83.0,93.0,90.42857142857143,False,False,False,False,False,False
2022-02-18,103,44.36,4569.08,0,28.1,0,2022,2,18,4,0,1,7,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,94.0,85.0,90.57142857142857,False,False,False,False,False,False
2022-02-19,106,43.65,4626.9,0,23.5,0,2022,2,19,5,1,1,7,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,103.0,92.0,93.14285714285714,False,False,False,False,False,False
2022-02-20,120,42.93,5151.6,0,17.4,0,2022,2,20,6,1,1,7,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,106.0,121.0,95.14285714285714,False,False,False,False,False,False
2022-02-21,127,48.86,6205.22,1,8.2,0,2022,2,21,0,0,1,8,0.8660254037844386,0.5000000000000001,0.0,1.0,120.0,74.0,95.0,False,False,False,False,False,False
2022-02-22,116,44.69,5184.04,1,23.4,0,2022,2,22,1,0,1,8,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,127.0,85.0,102.57142857142857,False,False,False,False,False,False
