date,store,category,units_sold,price,revenue,promotion,temperature,holiday
2022-01-01,Store_A,Electronics,199,272.54,54235.46,0,37.2,1
2022-01-01,Store_A,Clothing,162,41.9,6787.8,0,31.1,1
2022-01-01,Store_A,Groceries,297,13.13,3899.61,0,,1
2022-01-01,Store_A,Furniture,63,281.0,17703.0,0,9.7,1
2022-01-01,Store_A,Toys,84,23.96,2012.64,0,27.5,1
2022-01-01,Store_B,Electronics,178,243.32,43310.96,0,23.2,1
2022-01-01,Store_B,Clothing,110,45.13,4964.3,0,25.9,1
2022-01-01,Store_B,Groceries,244,11.21,2735.24,0,22.7,1
2022-01-01,Store_B,Furniture,51,296.41,15116.91,0,16.5,1
2022-01-01,Store_B,Toys,84,27.05,2272.2,0,15.2,1
2022-01-01,Store_C,Electronics,108,251.0,27108.0,0,26.6,1
2022-01-01,Store_C,Clothing,140,47.48,6647.2,1,26.4,1
2022-01-01,Store_C,Groceries,205,11.27,2310.35,0,22.6,1
2022-01-01,Store_C,Furniture,39,286.28,11164.92,0,33.5,1
2022-01-01,Store_C,Toys,64,25.21,1613.44,0,21.9,1
2022-01-02,Store_A,Electronics,174,274.34,47735.16,0,29.9,0
2022-01-02,Store_A,Clothing,154,47.84,7367.36,0,32.5,0
2022-01-02,Store_A,Groceries,285,10.98,3129.3,0,22.5,0
2022-01-02,Store_A,Furniture,59,307.4,18136.6,0,23.5,0
2022-01-02,Store_A,Toys,101,24.13,2437.13,0,35.8,0
2022-01-02,Store_B,Electronics,161,248.61,40026.21,0,19.8,0
2022-01-02,Store_B,Clothing,116,45.55,5283.8,0,37.5,0
2022-01-02,Store_B,Groceries,262,11.83,3099.46,0,22.6,0
2022-01-02,Store_B,Furniture,50,300.51,15025.5,0,27.9,0
2022-01-02,Store_B,Toys,71,26.28,1865.88,0,21.0,0
2022-01-02,Store_C,Electronics,190,265.41,50427.9,1,27.6,0
2022-01-02,Store_C,Clothing,94,42.18,3964.92,0,32.7,0
2022-01-02,Store_C,Groceries,193,12.95,2499.35,0,22.4,0
2022-01-02,Store_C,Furniture,42,295.63,12416.46,0,27.1,0
2022-01-02,Store_C,Toys,53,25.05,1327.65,0,21.6,0
2022-01-03,Store_A,Electronics,141,241.88,34105.08,0,28.2,0
2022-01-03,Store_A,Clothing,110,46.83,5151.3,0,24.4,0
2022-01-03,Store_A,Groceries,271,11.4,3089.4,1,24.8,0
2022-01-03,Store_A,Furniture,48,272.21,13066.08,0,44.7,0
2022-01-03,Store_A,Toys,70,23.89,1672.3,0,27.4,0
2022-01-03,Store_B,Electronics,133,249.47,33179.51,0,31.0,0
2022-01-03,Store_B,Clothing,102,47.05,4799.1,0,13.8,0
2022-01-03,Store_B,Groceries,180,12.09,2176.2,0,20.5,0
2022-01-03,Store_B,Furniture,33,305.45,10079.85,0,25.5,0
2022-01-03,Store_B,Toys,54,23.37,1261.98,0,37.4,0
2022-01-03,Store_C,Electronics,123,231.88,28521.24,1,22.4,0
2022-01-03,Store_C,Clothing,109,48.4,5275.6,1,15.2,0
2022-01-03,Store_C,Groceries,134,12.13,1625.42,0,26.5,0
2022-01-03,Store_C,Furniture,32,323.83,10362.56,0,31.3,0
2022-01-03,Store_C,Toys,50,24.25,1212.5,0,27.4,0
2022-01-04,Store_A,Electronics,134,263.99,35374.66,0,26.9,0
2022-01-04,Store_A,Clothing,111,48.59,5393.49,0,19.3,0
2022-01-04,Store_A,Groceries,285,11.19,3189.15,0,28.8,0
2022-01-04,Store_A,Furniture,43,283.46,12188.78,0,31.3,0
2022-01-04,Store_A,Toys,79,26.23,2072.17,0,28.3,0
2022-01-04,Store_B,Electronics,117,253.42,29650.14,0,19.0,0
